"Date","Time","TimeZone","Name","Type","Status","Currency","Gross","Fee","Net","Receipt ID","Balance","Tip"
"06/08/2021","03:45:41","PDT","PayPal","General Bonus","Completed","USD","5.00","0.00","5.00","","5.00",""
"06/08/2021","03:57:42","PDT","","General Credit Card Withdrawal","Completed","USD","-4.95","-0.05","-5.00","","0.00",""
